City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Min Temp,Wind Speed
isangel,VU,75.0,1580000139,74,-19.55,169.27,84.2,84.2,5.82
venice,US,1.0,1580000153,72,27.1,-82.45,61,54,10.29
faanui,PF,15.0,1580000154,76,-16.48,-151.75,82.47,82.47,11.21
shenjiamen,CN,100.0,1580000155,89,29.96,122.3,54.61,54.61,19.24
katsuura,JP,75.0,1580000047,86,35.13,140.3,39.99,37.99,4.7
leh,IN,100.0,1580000156,94,34.17,77.58,-2.88,-2.88,5.06
mahebourg,MU,40.0,1580000157,78,-20.41,57.7,77,73.99,12.75
svetlyy,RU,75.0,1580000157,93,54.67,20.13,41,41,13.42
kendari,ID,75.0,1580000158,83,-3.94,122.5,81.77,81.77,1.5
kuusamo,FI,75.0,1580000053,91,65.97,29.18,1.4,1.4,4.7
lebu,CL,0.0,1580000022,67,-37.62,-73.65,63.28,63.28,10.54
cayenne,GF,90.0,1580000160,94,4.93,-52.33,75.2,75.2,2.24
ugoofaaru,MV,100.0,1580000160,67,5.67,73,82,82,6.58
los llanos de aridane,ES,90.0,1580000161,59,28.66,-17.92,62.6,57.99,5.82
guerrero negro,MX,0.0,1579999889,56,27.98,-114.06,67.17,67.17,9.08
carnarvon,AU,23.0,1579999971,74,-24.87,113.63,78.8,78.8,17.22
mount gambier,AU,90.0,1580000162,88,-37.83,140.77,62.6,62.6,12.75
thiers,FR,96.0,1580000162,80,45.83,3.5,44.6,41,3.36
juneau,US,90.0,1579999988,95,58.3,-134.42,32,30,5.82
takapau,NZ,0.0,1580000163,68,-40.03,176.35,84,75.99,4
lastra a signa,IT,75.0,1580000164,93,43.77,11.1,48.99,44.01,1.12
bambous virieux,MU,40.0,1580000165,78,-20.34,57.76,77,73.99,12.75
vila franca do campo,PT,40.0,1580000165,87,37.72,-25.43,57.2,57.2,4.7
georgetown,SH,100.0,1580000166,76,-7.93,-14.42,78.55,78.55,15.21
san patricio,MX,75.0,1580000075,83,19.22,-104.7,80.6,80.6,11.41
lazurne,UA,0.0,1580000168,70,46.08,32.53,32,32,12.84
hithadhoo,MV,100.0,1579999988,79,-0.6,73.08,82.11,82.11,11.23
severo-kurilsk,RU,100.0,1580000025,91,50.68,156.12,18.57,18.57,44.63
burg,DE,75.0,1580000169,92,51.83,14.15,30.2,30,6.93
esperance,AU,95.0,1580000169,68,-33.87,121.9,71.6,71.6,8.05
cherskiy,RU,100.0,1580000099,96,68.75,161.3,-20.06,-20.06,2.15
klaksvik,FO,100.0,1580000170,93,62.23,-6.59,44.6,44.6,10.29
eyl,SO,70.0,1580000171,81,7.98,49.82,79.12,79.12,20.04
pedara,IT,75.0,1580000171,93,37.62,15.06,59,46,3.36
vesele,UA,18.0,1580000172,85,47.01,34.91,32.68,32.68,9.6
kaitangata,NZ,85.0,1580000172,66,-46.28,169.85,66.99,66.99,9.55
key west,US,1.0,1580000173,64,24.56,-81.78,69.8,66.99,12.75
lavrentiya,RU,0.0,1580000037,74,65.58,-171,-12.55,-12.55,1.36
lagoa,PT,100.0,1580000174,65,39.05,-27.98,58.28,58.28,8.72
kiama,AU,13.0,1580000174,49,-34.68,150.87,89.6,80.01,8.05
linkou,CN,0.0,1580000175,86,45.3,130.28,-3.32,-3.32,4.21
kursk,RU,100.0,1580000175,88,51.73,36.19,30.99,30.99,13.35
bafia,CM,74.0,1580000175,22,4.75,11.23,67.08,67.08,3.29
maketu,NZ,22.0,1580000176,62,-37.77,176.45,89.01,77,6.49
tuatapere,NZ,71.0,1580000059,48,-46.13,167.68,70.5,70.5,3.8
chokurdakh,RU,85.0,1580000177,84,70.63,147.92,-25.46,-25.46,4.34
port macquarie,AU,0.0,1580000177,55,-31.43,152.92,97,86,5.82
maldonado,UY,0.0,1580000178,72,-34.67,-54.92,68,68,5.82
cape town,ZA,75.0,1580000163,88,-33.93,18.42,64,57.99,11.41
lagunas,PE,97.0,1580000180,82,-5.23,-75.68,80.08,80.08,3.36
port-gentil,GA,20.0,1580000180,78,-0.72,8.78,83.44,83.44,12.88
takoradi,GH,84.0,1580000180,87,4.88,-1.76,76.48,76.48,1.83
morro bay,US,1.0,1580000181,72,35.37,-120.85,66.99,60.01,18.34
lisakovsk,KZ,100.0,1580000182,91,52.54,62.49,21.45,21.45,21.05
yellowknife,CA,90.0,1579999956,85,62.46,-114.35,10.4,10.4,8.05
nuuk,GL,93.0,1580000182,78,64.18,-51.72,12.2,12,8.05
college,US,1.0,1580000183,75,64.86,-147.8,-7.01,-20.99,3.36
kaliua,TZ,100.0,1580000183,98,-5.06,31.79,65.59,65.59,0.81
provideniya,RU,0.0,1580000156,68,64.38,-173.3,-3.71,-3.71,3.85
sitka,US,90.0,1580000184,81,57.05,-135.33,44.6,33.8,19.46
ko samui,TH,20.0,1580000145,83,9.54,99.94,78.8,78.8,5.37
hambantota,LK,40.0,1580000185,100,6.12,81.12,75.2,75.2,12.75
novikovo,RU,100.0,1580000185,92,51.15,37.89,32.83,32.83,15.88
wakkanai,JP,75.0,1580000186,57,45.41,141.67,19.4,19.4,17.22
malia,IN,0.0,1580000186,50,29.13,74.69,57.27,57.27,4.34
ajdabiya,LY,100.0,1580000187,56,30.76,20.23,59.2,59.2,18.14
talnakh,RU,75.0,1580000187,84,69.49,88.4,1.4,1.4,8.95
hobart,AU,75.0,1580000158,60,-42.88,147.33,73.99,57.99,12.75
cabedelo,BR,75.0,1580000087,83,-6.98,-34.83,82.4,82.4,5.82
tashtagol,RU,100.0,1580000189,97,52.77,87.89,19.29,19.29,2.1
lazaro cardenas,MX,97.0,1580000189,66,17.96,-102.2,78.87,78.87,5.99
pisco,PE,75.0,1580000190,83,-13.7,-76.22,77,73.4,21.92
seminole,US,1.0,1579999913,66,28.71,-81.21,60.8,51.01,3.94
topolobampo,MX,5.0,1580000191,46,25.6,-109.05,71.6,68,8.57
mandasa,IN,94.0,1580000191,90,18.87,84.47,64.54,64.54,2.82
souillac,MU,40.0,1580000056,78,-20.52,57.52,77,73.99,12.75
mindelo,CV,96.0,1580000192,88,16.89,-24.98,69.8,69.8,20.8
sao filipe,CV,38.0,1580000060,66,14.9,-24.5,73,73,19.86
thompson,CA,90.0,1580000037,92,55.74,-97.86,15.8,15.8,3.74
alice springs,AU,0.0,1580000063,11,-23.7,133.88,89.6,89.6,17.22
livingston,US,90.0,1580000193,87,40.8,-74.31,48.2,37.99,9.17
madhipura,IN,0.0,1580000194,76,25.92,86.78,51.87,51.87,3.27
tianmen,CN,99.0,1580000194,94,30.65,113.16,35.74,35.74,12.73
mincivan,AZ,0.0,1580000195,53,39.03,46.72,22.12,22.12,13.42
imbituba,BR,17.0,1580000195,78,-28.24,-48.67,73.4,73.4,3.36
marfino,RU,75.0,1580000196,80,55.7,37.38,32,28.4,13.42
tucuman,AR,1.0,1580000196,62,-26.82,-65.22,86,86,4.7
port victoria,KE,100.0,1580000196,81,0.09,33.98,70.03,70.03,3.02
namatanai,PG,89.0,1580000085,73,-3.67,152.43,84.67,84.67,10.54
agadez,NE,76.0,1580000197,12,19.75,10.25,62.13,62.13,4.9
tasiilaq,GL,100.0,1580000198,63,65.61,-37.64,30.2,30.2,25.28
oranjemund,NA,96.0,1580000083,85,-28.55,16.43,65.98,65.98,9.82
karratha,AU,0.0,1580000199,74,-20.74,116.85,85.17,85.17,4.34
port lincoln,AU,63.0,1580000199,72,-34.73,135.87,67.32,67.32,6.51
alihe,CN,32.0,1580000200,86,50.57,123.72,-3.98,-3.98,4.32
skibbereen,IE,75.0,1580000200,93,51.55,-9.27,48.2,48.2,21.92
lorengau,PG,2.0,1580000200,72,-2.02,147.27,82.81,82.81,3.24
bundu,IN,0.0,1580000201,87,23.18,85.58,46.4,46.4,1.83
port blair,IN,100.0,1579999915,70,11.67,92.75,78.06,78.06,13.71
geraldton,AU,19.0,1580000045,73,-28.77,114.6,75.2,75.2,12.75
jiuquan,CN,0.0,1580000202,30,39.74,98.52,13.98,13.98,6.69
conakry,GN,47.0,1580000202,79,9.54,-13.68,76.57,76.57,6.02
buala,SB,8.0,1580000203,62,-8.14,159.59,86.43,86.43,2.77
beringovskiy,RU,100.0,1580000203,85,63.05,179.32,15.28,15.28,8.81
la ronge,CA,90.0,1580000204,85,55.1,-105.28,23,23,5.82
sao gabriel da cachoeira,BR,98.0,1579999985,94,-0.13,-67.09,75.33,75.33,1.99
mwinilunga,ZM,100.0,1580000031,97,-11.74,24.43,63.97,63.97,0.45
salvador,BR,75.0,1580000021,83,-12.97,-38.51,80.6,80.6,11.41
groningen,SR,75.0,1580000205,83,5.8,-55.47,78.8,75,8.05
aklavik,CA,90.0,1580000206,75,68.22,-135.01,-13,-13,16.11
elk city,US,1.0,1580000206,66,35.41,-99.4,55.4,51.8,4.7
saint-pierre,PM,0.0,1580000207,85,46.77,-56.17,23,23,9.17
tuktoyaktuk,CA,90.0,1580000019,75,69.45,-133.04,-13,-13,24.16
khorixas,NA,0.0,1580000208,37,-20.37,14.97,70.61,70.61,1.66
kisangani,CD,97.0,1580000208,44,0.52,25.2,72,72,0.87
kruisfontein,ZA,26.0,1580000209,91,-34,24.73,67.28,67.28,20.33
salalah,OM,75.0,1580000209,78,17.02,54.09,77,77,4.7
jumla,NP,27.0,1580000209,57,29.27,82.18,23.22,23.22,4.45
ukwa,IN,0.0,1580000210,53,21.97,80.47,52.68,52.68,2.17
ambulu,ID,65.0,1580000210,72,-8.35,113.61,82.4,82.4,4.03
cabatuan,PH,43.0,1580000211,83,10.88,122.49,78.53,78.53,5.35
tabou,CI,67.0,1580000211,96,4.42,-7.35,77.58,77.58,1.45
pevek,RU,100.0,1580000043,96,69.7,170.31,-11.96,-11.96,2.04
katherine,AU,100.0,1580000163,58,-14.47,132.27,87.8,87.8,9.17
antofagasta,CL,75.0,1580000213,83,-23.65,-70.4,72,71.6,4.7
esmeraldas,EC,75.0,1580000213,88,-1.87,-79.8,79,78.01,3.36
buraydah,SA,0.0,1580000214,93,26.33,43.98,39.2,39.2,12.75
upata,VE,100.0,1580000214,63,8.01,-62.4,73.29,73.29,5.17
calama,CL,90.0,1580000215,93,-22.47,-68.93,59,59,14.99
nybro,SE,87.0,1580000216,86,56.74,15.91,41,37.99,9.17
srednekolymsk,RU,100.0,1580000216,95,67.45,153.68,-24.57,-24.57,5.14
havoysund,NO,100.0,1580000216,73,71,24.66,19.4,19.4,28.86
saldanha,ZA,32.0,1580000217,82,-33.01,17.94,64.4,64.4,4.7
alofi,NU,99.0,1580000045,83,-19.06,-169.92,84.2,84.2,8.05
hualmay,PE,95.0,1580000207,72,-11.1,-77.61,73.72,73.72,5.41
flinders,AU,13.0,1580000219,49,-34.58,150.86,95,80.01,8.05
vardo,NO,100.0,1580000219,71,70.37,31.11,23.67,23.67,28.14
beyneu,KZ,100.0,1580000220,74,45.32,55.2,35.55,35.55,20.42
richards bay,ZA,0.0,1580000220,81,-28.78,32.04,77.16,77.16,27.81
christchurch,NZ,52.0,1579999987,60,-43.53,172.63,81,69.01,10.29
macaubas,BR,100.0,1580000043,82,-13.02,-42.7,72.57,72.57,1.86
tiksi,RU,0.0,1580000221,67,71.69,128.87,-26.66,-26.66,5.46
san angelo,US,1.0,1580000056,67,31.46,-100.44,60.8,57,14.99
norman wells,CA,40.0,1580000223,63,65.28,-126.83,-11.2,-11.2,13.87
plant city,US,1.0,1580000223,66,28.02,-82.11,57.99,51.01,5.82
pangody,RU,80.0,1580000224,98,65.85,74.49,-4.09,-4.09,3.2
ahipara,NZ,65.0,1580000070,81,-35.17,173.17,68.86,68.86,10.69
rio grande,BR,83.0,1580000224,92,-32.03,-52.1,72,72,17.27
khairagarh,IN,0.0,1580000225,59,26.95,77.82,49.89,49.89,3.24
baherden,TM,0.0,1580000225,76,38.44,57.43,30.6,30.6,11.18
hirara,JP,75.0,1580000226,94,24.8,125.28,73.4,73.4,13.87
lexington,US,90.0,1580000100,86,37.99,-84.48,37.4,33.8,14.99
mantua,CU,5.0,1580000227,80,22.29,-84.28,74.28,74.28,23.51
bathsheba,BB,40.0,1580000228,83,13.22,-59.52,77,77,5.82
victoria,SC,20.0,1580000228,88,-4.62,55.45,78.8,78.8,3.36
aykhal,RU,97.0,1580000229,67,66,111.5,-27.4,-27.4,6.71
kuchinarai,TH,20.0,1580000229,94,16.54,104.05,71.6,71.6,4.7
sheregesh,RU,100.0,1580000230,97,52.92,87.99,19.29,19.29,2.1
alta floresta,BR,100.0,1580000028,97,-9.88,-56.09,73.13,73.13,3.53
port shepstone,ZA,35.0,1580000231,76,-30.74,30.45,70.57,70.57,4.27
launceston,AU,90.0,1580000231,88,-41.45,147.17,71.01,64.4,19.46
kavieng,PG,86.0,1580000231,70,-2.57,150.8,84.25,84.25,8.12
tamiahua,MX,45.0,1580000232,84,21.27,-97.45,71.83,71.83,9.06
kangaba,ML,6.0,1580000232,10,11.93,-8.42,72.75,72.75,4.85
ketchikan,US,90.0,1580000233,87,55.34,-131.65,46.4,46.4,19.46
yeppoon,AU,75.0,1580000234,58,-23.13,150.73,87.8,87.8,12.75
sorland,NO,100.0,1580000234,80,67.67,12.69,35.08,35.08,28.72
andros town,BS,50.0,1580000236,78,24.7,-77.77,71.6,71.6,3.36
gainesville,US,20.0,1579999940,54,29.65,-82.32,55,44.6,5.82
the valley,AI,75.0,1580000237,83,18.22,-63.06,77,75.99,2.24
salta,AR,75.0,1580000237,54,-24.79,-65.41,78.8,78.8,6.93
ancud,CL,100.0,1580000237,68,-41.87,-73.82,66.2,66.2,6.93
ornskoldsvik,SE,100.0,1580000238,97,63.29,18.72,32,30.2,6.93
kavaratti,IN,88.0,1580000031,65,10.57,72.64,80.85,80.85,3.04
catuday,PH,74.0,1580000239,82,16.29,119.81,78.62,78.62,15.14
tual,ID,77.0,1580000239,65,-5.67,132.75,84.96,84.96,5.73
harper,LR,67.0,1580000240,96,4.38,-7.72,77.58,77.58,1.45
byron bay,AU,40.0,1580000103,74,-28.65,153.62,84,80.01,5.82
baykit,RU,98.0,1580000241,87,61.67,96.37,13.46,13.46,8.52
kahului,US,20.0,1580000241,51,20.89,-156.47,84.2,75,13.87
port hawkesbury,CA,40.0,1580000242,92,45.62,-61.35,27,12,5.82
saint george,BM,75.0,1580000242,93,32.38,-64.68,66.2,62.01,6.93
basoko,CD,68.0,1580000242,34,1.24,23.62,72.07,72.07,1.23
bilma,NE,0.0,1580000243,17,18.69,12.92,59.81,59.81,8.03
kilemary,RU,100.0,1580000243,97,56.78,46.87,24.1,24.1,2.59
moron,CU,20.0,1580000244,88,22.11,-78.63,69.8,69.8,4.7
margate,ZA,68.0,1580000244,85,-30.86,30.37,79.11,79.11,29.73
iguape,BR,0.0,1580000245,94,-24.71,-47.56,66.9,66.9,2.3
saint-joseph,RE,90.0,1580000245,78,-21.37,55.62,73.4,63,8.05
bakchar,RU,99.0,1580000246,91,57.02,82.07,11.37,11.37,10.27
naryan-mar,RU,100.0,1580000246,100,67.67,53.09,-8.48,-8.48,6.33
caravelas,BR,100.0,1580000247,82,-17.71,-39.25,79.59,79.59,16.28
aldan,RU,95.0,1580000247,94,58.6,125.39,-4.45,-4.45,7.83
luganville,VU,40.0,1580000248,70,-15.53,167.17,86,86,5.82
bella vista,PY,0.0,1580000248,53,-22.13,-56.52,74.61,74.61,0.29
vila velha,BR,75.0,1580000248,94,-20.33,-40.29,71.6,71.01,4.7
iqaluit,CA,5.0,1580000249,67,63.75,-68.51,-27,-27.4,13.87
nanortalik,GL,100.0,1580000026,73,60.14,-45.24,23.61,23.61,14.41
el alto,PE,69.0,1580000250,72,-4.27,-81.21,75.38,75.38,13.27
boguchany,RU,51.0,1580000250,83,58.38,97.45,19.92,19.92,11.63
makubetsu,JP,75.0,1580000251,57,45.37,141.82,19.4,19.4,17.22
xixiang,CN,100.0,1580000252,84,35.16,112.86,35.94,35.94,1.74
korla,CN,7.0,1580000252,42,41.76,86.15,13.26,13.26,1.21
havre-saint-pierre,CA,90.0,1580000223,92,50.23,-63.6,10.4,10.4,6.44
bloemfontein,ZA,23.0,1580000178,88,-29.12,26.21,64.4,64.4,5.82
matara,LK,61.0,1580000253,90,5.95,80.54,71.35,71.35,6.04
torbay,CA,5.0,1580000042,78,47.67,-52.73,21,17.01,16.11
biak,ID,43.0,1580000254,76,-0.91,122.88,81.41,81.41,3.51
vao,NC,77.0,1580000255,77,-22.67,167.48,78.15,78.15,15.97
dunda,TZ,100.0,1580000255,98,-8.12,34.25,65.41,65.41,2.91
palmer,US,90.0,1580000256,93,42.16,-72.33,46.4,36,14.99
san cristobal,EC,90.0,1580000257,94,-0.9,-89.62,77,77,11.41
nikolskoye,RU,40.0,1580000018,80,59.7,30.79,30.99,25,6.71
boda,CF,100.0,1580000258,20,4.32,17.47,65.8,65.8,4.14
sao felix do xingu,BR,100.0,1580000259,93,-6.64,-51.99,74.37,74.37,2.3
la canada,MX,75.0,1580000259,32,20.62,-100.32,68,64,9.17
jega,NG,12.0,1580000260,12,12.22,4.38,66.94,66.94,11.32
lotofaga,WS,77.0,1580000260,76,-13.98,-171.86,82.53,82.53,4.12
jinchang,CN,12.0,1580000210,47,38.5,102.17,18.55,18.55,8.46
kourou,GF,90.0,1580000261,94,5.16,-52.65,75.2,75.2,2.24
gigmoto,PH,62.0,1580000261,82,13.78,124.39,80.53,80.53,15.59
sibolga,ID,74.0,1580000014,95,1.74,98.78,71.51,71.51,2.95
baoro,CF,90.0,1580000262,20,5.67,15.97,62.74,62.74,5.35
kachug,RU,68.0,1580000262,82,53.96,105.88,1.45,1.45,0.81
gravdal,NO,100.0,1580000263,67,68.12,13.5,32.49,32.49,23.76
hearst,CA,100.0,1580000263,96,49.68,-83.67,24.44,24.44,5.66
dukat,RU,100.0,1580000264,97,62.55,155.55,-22.72,-22.72,6.29
sarangani,PH,19.0,1580000264,78,5.4,125.46,81.79,81.79,6.51
namibe,AO,1.0,1580000264,72,-15.2,12.15,74.93,74.93,11.3
raduzhnyy,RU,80.0,1580000265,97,62.1,77.47,-1.01,-1.01,5.82
borodino,RU,100.0,1580000265,89,55.91,94.9,23.67,23.67,7.11
bengkulu,ID,91.0,1580000266,89,-3.8,102.27,75.07,75.07,2.35
santa isabel do rio negro,BR,100.0,1580000266,94,-0.41,-65.02,75.69,75.69,2.26
verkh-chebula,RU,100.0,1580000267,88,56.03,87.62,18.27,18.27,11.77
tucurui,BR,100.0,1580000267,85,-3.77,-49.67,78.53,78.53,2.06
itoman,JP,75.0,1580000267,88,26.12,127.67,73.4,71.01,9.17
aksha,RU,68.0,1580000268,82,50.28,113.29,-4.5,-4.5,1.86
gargalianoi,GR,100.0,1580000268,93,37.07,21.63,52,42.8,2.24
gotsu,JP,75.0,1580000269,87,35,132.22,46.4,46.4,4.7
takhtamygda,RU,10.0,1580000269,96,54.1,123.57,-24.36,-24.36,1.25
liverpool,CA,100.0,1580000269,90,44.03,-64.72,33.01,33.01,1.01
kupiskis,LT,4.0,1580000270,95,55.83,24.97,32.27,32.27,8.01
entre rios,BO,19.0,1580000271,40,-21.53,-64.2,73.4,73.4,5.82
carballo,ES,4.0,1580000271,100,43.21,-8.69,45,37.99,5.82
rocky mountain house,CA,0.0,1580000272,85,52.37,-114.92,28.99,28.99,1.05
tromso,NO,75.0,1580000272,92,69.65,18.96,17.6,1.4,3.36
vihti,FI,75.0,1580000272,86,60.42,24.33,34,28,4.7
ikom,NG,94.0,1580000044,17,5.97,8.71,68.43,68.43,1.61
gizo,SB,26.0,1580000274,68,-8.1,156.84,82.98,82.98,7.38
quesnel,CA,1.0,1580000163,86,53,-122.5,33.8,33.8,5.82
katesh,TZ,100.0,1580000274,98,-4.52,35.38,61.34,61.34,3.56
hornepayne,CA,100.0,1580000275,95,49.21,-84.77,23.22,23.22,6.17
